DTMNFR;ORGAO;TIPO;SIGLA;SIMBOLO;NOME_LISTA;NUM_ORDEM;NOME_CANDIDATO;PARTIDO_PROPONENTE;INDEPENDENTE
150300;AM;2;PS;;Partido Socialista;1;João Luís Serrenho Frazão Couvaneiro;PS;N
150300;AM;2;PS;;Partido Socialista;2;Débora Figueiredo Carvalho Rodrigues;PS;N
150300;AM;2;PS;;Partido Socialista;3;Ivo Filipe Esteves de Almeida;PS;N
150300;AM;2;PS;;Partido Socialista;4;José Joaquim Machado Courinha Leitão;PS;N
150300;AM;2;PS;;Partido Socialista;5;Ana Paula Alves da Silva;PS;N
150300;AM;2;PS;;Partido Socialista;6;Sérgio Cantante Faria de Bastos;PS;N
150300;AM;2;PS;;Partido Socialista;7;Henrique Alexandre Margarido de Almeida;PS;N
150300;AM;2;PS;;Partido Socialista;8;Maria Tomaz Queluz Fernandes Palma;PS;N
150300;AM;2;PS;;Partido Socialista;9;João Pedro Eixa dos Santos;PS;N
150300;AM;2;PS;;Partido Socialista;10;Marta Ferreira Cortez dos Santos;PS;N
150300;AM;2;PS;;Partido Socialista;11;Filipe Martins Vaz;PS;N
150300;AM;2;PS;;Partido Socialista;12;Vítor Manuel dos Santos Castanheira;PS;N
150300;AM;2;PS;;Partido Socialista;13;Rosa Maria Varela Ferreira Mendes;PS;N
150300;AM;2;PS;;Partido Socialista;14;José Antonio Lino Craveiro;PS;N
150300;AM;2;PS;;Partido Socialista;15;Pedro Miguel Dias Rodrigues Pereira;PS;N
150300;AM;2;PS;;Partido Socialista;16;Olga Natália Maria Mariano;PS;N
150300;AM;2;PS;;Partido Socialista;17;António Ferrão da Costa;PS;N
150300;AM;2;PS;;Partido Socialista;18;José Maria Marques da Costa Cortez;PS;N
150300;AM;2;PS;;Partido Socialista;19;Maria João Louro Belchior Rita;PS;N
150300;AM;2;PS;;Partido Socialista;20;Luísa Maria Freire Galvão;PS;N
150300;AM;2;PS;;Partido Socialista;21;António José Brigas Alves;PS;N
150300;AM;2;PS;;Partido Socialista;22;Maria José Bruno Esteves;PS;N
150300;AM;2;PS;;Partido Socialista;23;Ana Isabel Palhais de Melo Cardoso Póvoa Figueiredo;PS;N
150300;AM;2;PS;;Partido Socialista;24;Rogério Celestino Gomes Gonçalves;PS;N
150300;AM;2;PS;;Partido Socialista;25;Sónia Maria Pereira Farinha;PS;N
150300;AM;2;PS;;Partido Socialista;26;Rúben José Almeida Martins Raposo;PS;N
150300;AM;2;PS;;Partido Socialista;27;Ana Catarina Braz Tavares;PS;N
150300;AM;2;PS;;Partido Socialista;28;Manuel Pereira Fernandes;PS;N
150300;AM;2;PS;;Partido Socialista;29;Mariama Embaló;PS;N
150300;AM;2;PS;;Partido Socialista;30;Jaime João dos Santos Rocha;PS;N
150300;AM;2;PS;;Partido Socialista;31;Maria Conceição Alves Freitas;PS;N
150300;AM;2;PS;;Partido Socialista;32;Vitória de Los Angeles Reyes Cortes Ferreira;PS;N
150300;AM;2;PS;;Partido Socialista;33;Carlos Manuel de Carvalho Gonçalves;PS;N
150300;AM;3;PS;;Partido Socialista;1;Joana Correia Rosinha Sério;PS;N
150300;AM;3;PS;;Partido Socialista;2;Feliciano José do Livramento dos Reis;PS;N
150300;AM;3;PS;;Partido Socialista;3;António José Lopes Ferreira;PS;N
150300;AM;3;PS;;Partido Socialista;4;Cláudia Isabel Fernandes Ferraz Patrício;PS;N
150300;AM;3;PS;;Partido Socialista;5;José Paulo Nobre Saramago;PS;N
150300;AM;3;PS;;Partido Socialista;6;Maria Teresa Cerqueira Rocha Pereira;PS;N
150300;AM;3;PS;;Partido Socialista;7;Rui Manuel Pestana Borges;PS;N
150300;AM;3;PS;;Partido Socialista;8;Joana Nunes Chaves;PS;N
150300;AM;3;PS;;Partido Socialista;9;António Manuel Correia Valente;PS;N
150300;AM;3;PS;;Partido Socialista;10;Marta Andreia Santos Gouveia;PS;N
150300;AM;3;PS;;Partido Socialista;11;Manuel Esteves dos Santos Peixoto;PS;N
150300;AM;3;PS;;Partido Socialista;12;Rita Santos Fernandes;PS;N
150300;AM;3;PS;;Partido Socialista;13;José António Abala-Matos Búzio;PS;N
150300;AM;3;PS;;Partido Socialista;14;Rita Sofia de Sousa Portugal;PS;N
150300;AM;3;PS;;Partido Socialista;15;João Pedro Dias Nunes;PS;N
150300;AM;3;PS;;Partido Socialista;16;Cátia Lourenço Cameira;PS;N
150300;AM;3;PS;;Partido Socialista;17;José João Caleiro Plácido;PS;N
150300;AM;3;PS;;Partido Socialista;18;Carolina Isabel Gomes Veiga;PS;N
150300;AM;3;PS;;Partido Socialista;19;Luis Manuel Vieira Garcia;PS;N
150300;AM;3;PS;;Partido Socialista;20;Maria Manuela Amado Simões;PS;N
150300;AM;3;PS;;Partido Socialista;21;Rúben Filipe Santos Peres;PS;N
150300;AM;3;PS;;Partido Socialista;22;Pedro Nuno Freire Gaspar;PS;N
150300;AM;3;PS;;Partido Socialista;23;Maria Da Saudade Dias Da Silva;PS;N
150300;AM;3;PS;;Partido Socialista;24;Guilherme Machado da Rosa Perdigão Luz;PS;N
150300;AM;3;PS;;Partido Socialista;25;Ricardo Daniel Rodrigues da Silva;PS;N
150300;AM;3;PS;;Partido Socialista;26;Maria Emília Mamede Grazina Samora;PS;N
150300;AM;3;PS;;Partido Socialista;27;José Manuel da Silva;PS;N
150300;AM;3;PS;;Partido Socialista;28;Arminda Purificação Carvalho Mourão da Silva Vieira;PS;N
150300;AM;3;PS;;Partido Socialista;29;João Frederico da Silva Lopes de Frias Branco;PS;N
150300;AM;3;PS;;Partido Socialista;30;Beatriz Alexandra de Carvalho e Melo Franco;PS;N
150300;AM;3;PS;;Partido Socialista;31;Henrique Galelo Palhotas;PS;N
150300;AM;3;PS;;Partido Socialista;32;Maria Suzete do Carmo Lourenço Rapaz;PS;N
150300;AM;3;PS;;Partido Socialista;33;Alberto Marques Antunes;PS;N
150300;AM;2;CH;;Chega;1;Patricia Alexandra Martins Carvalho;CH;N
150300;AM;2;CH;;Chega;2;Mário Daniel Da Silva Tavares Paracana;CH;N
150300;AM;2;CH;;Chega;3;Inês Maurile De Oliveira Silva;CH;N
150300;AM;2;CH;;Chega;4;Isabella Sales Baltazar;CH;N
150300;AM;2;CH;;Chega;5;Luis Manuel Jales Cordeiro;CH;N
150300;AM;2;CH;;Chega;6;Maria Teresa dos Santos Amarante de Almeida;CH;N
150300;AM;2;CH;;Chega;7;Bruno Miguel Neves de Brito;CH;N
150300;AM;2;CH;;Chega;8;João Pedro Guterres Peixoto Costa Pereira;CH;N
150300;AM;2;CH;;Chega;9;Andreia Alexandra Flores de Miranda;CH;N
150300;AM;2;CH;;Chega;10;José Carlos Marques Nunes;CH;N
150300;AM;2;CH;;Chega;11;Rui Fernando Garcia Marques;CH;N
150300;AM;2;CH;;Chega;12;Cátia Alexandra Gonçalves Silva;CH;N
150300;AM;2;CH;;Chega;13;António Manuel dos Santos Marques Ferrugem;CH;N
150300;AM;2;CH;;Chega;14;Bruno Miguel Ventura Janeiro;CH;N
150300;AM;2;CH;;Chega;15;Lucília Maria dos Santos;CH;N
150300;AM;2;CH;;Chega;16;Rui Paulo Azevedo dos Santos;CH;N
150300;AM;2;CH;;Chega;17;Alfredo José Faria Lopes;CH;N
150300;AM;2;CH;;Chega;18;Cláudia Susana da Costa Ferreira;CH;N
150300;AM;2;CH;;Chega;19;Nuno Alexandre Oliveira Mendes;CH;N
150300;AM;2;CH;;Chega;20;Sara Sofia Martins Pinheiro;CH;N
150300;AM;2;CH;;Chega;21;Ana Sofia Carvalheira Mendes;CH;N
150300;AM;2;CH;;Chega;22;Hugo Miguel Nunes Monteiro;CH;N
150300;AM;2;CH;;Chega;23;Armando José da Silva Rocha;CH;N
150300;AM;2;CH;;Chega;24;Cláudia Sofia Barreto Gonçalves;CH;N
150300;AM;2;CH;;Chega;25;João Daniel Ribeiro Canelas;CH;N
150300;AM;2;CH;;Chega;26;Mauro Neves Guerra Henriques Carvalho;CH;N
150300;AM;2;CH;;Chega;27;Cláudia Patrícia Braz Quinta Gomes;CH;N
150300;AM;2;CH;;Chega;28;António da Costa Trepado;CH;N
150300;AM;2;CH;;Chega;29;Andreia Sofia Rodrigues Isidoro;CH;N
150300;AM;2;CH;;Chega;30;Helena Maria Rocha Almeida;CH;N
150300;AM;2;CH;;Chega;31;Daniel Nunes Fernandes;CH;N
150300;AM;2;CH;;Chega;32;Vera Solange da Silva Lagos;CH;N
150300;AM;2;CH;;Chega;33;Ana Filipa da Costa Ferreira da Guia;CH;N
150300;AM;3;CH;;Chega;1;José Bartolomeu Ricardo;CH;N
150300;AM;3;CH;;Chega;2;Neide Filipa Marinho Passarinho;CH;N
150300;AM;3;CH;;Chega;3;Arlinda Maria Pereira Conceição;CH;N
150300;AM;3;CH;;Chega;4;Alexandre Jorge Mendes Ferreira;CH;N
150300;AM;3;CH;;Chega;5;Maria Ana Quintela Gaivão Andrade Praça Louro Cordoeiro;CH;N
150300;AM;3;CH;;Chega;6;Nádia Filipa Gomes Lagos;CH;N
150300;AM;3;CH;;Chega;7;Alexandre Diogo Silva Aires;CH;N
150300;AM;3;CH;;Chega;8;Orquídea Maria Branco Valério;CH;N
150300;AM;3;CH;;Chega;9;Mário Maria Branco Lopes de Matos;CH;N
150300;AM;3;CH;;Chega;10;Cátia Andreia Soares Pereira Amante;CH;N
150300;AM;3;CH;;Chega;11;Catarina da Costa Carvalho Rita Gomes;CH;N
150300;AM;2;PPD/PSD;;Partido Social Democrata;1;Ana Catarina Ribas Lopes;PPD/PSD;N
150300;AM;2;PPD/PSD;;Partido Social Democrata;2;Luís Pedro Amado Pinto Durão;PPD/PSD;N
150300;AM;2;PPD/PSD;;Partido Social Democrata;3;Miguel ngelo Moura Salvado;PPD/PSD;N
150300;AM;2;PPD/PSD;;Partido Social Democrata;4;Lina Cristina de Matos Gonzalez;PPD/PSD;N
150300;AM;2;PPD/PSD;;Partido Social Democrata;5;Miguel Maria Grossinho Caldeira Pais;PPD/PSD;N
150300;AM;2;PPD/PSD;;Partido Social Democrata;6;Bruno Rafael Esteves Manso Ribeiro;PPD/PSD;N
150300;AM;2;PPD/PSD;;Partido Social Democrata;7;Inês Varela Neves;PPD/PSD;N
150300;AM;2;PPD/PSD;;Partido Social Democrata;8;António Carlos Lourenço Ferreira da Silva;PPD/PSD;N
150300;AM;2;PPD/PSD;;Partido Social Democrata;9;Amaro Alexandre Caeiro Grilo;PPD/PSD;N
150300;AM;2;PPD/PSD;;Partido Social Democrata;10;Jéssica Denise Krause;PPD/PSD;N
150300;AM;2;PPD/PSD;;Partido Social Democrata;11;Nuno de Almeida Ferreira Rita;PPD/PSD;N
150300;AM;2;PPD/PSD;;Partido Social Democrata;12;José Rafael Moita Coelho;PPD/PSD;N
150300;AM;2;PPD/PSD;;Partido Social Democrata;13;Selma Nazaré Vieira Barros;PPD/PSD;N
150300;AM;2;PPD/PSD;;Partido Social Democrata;14;Bruno Miguel Abrantes Queimado Rosa;PPD/PSD;N
150300;AM;2;PPD/PSD;;Partido Social Democrata;15;Luis Filipe Camoêsas dos Anjos;PPD/PSD;N
150300;AM;2;PPD/PSD;;Partido Social Democrata;16;Maria Mafalda de Faria e Melo Forjó;PPD/PSD;N
150300;AM;2;PPD/PSD;;Partido Social Democrata;17;Simão Botelho Batista;PPD/PSD;N
150300;AM;2;PPD/PSD;;Partido Social Democrata;18;Nuno Miguel Salgueiro Ferreira Silvestre;PPD/PSD;N
150300;AM;2;PPD/PSD;;Partido Social Democrata;19;Maria de Lurdes Marques Silva;PPD/PSD;N
150300;AM;2;PPD/PSD;;Partido Social Democrata;20;Pedro Miguel Folião Nunes;PPD/PSD;N
150300;AM;2;PPD/PSD;;Partido Social Democrata;21;Fausto de Oliveira Cruz;PPD/PSD;N
150300;AM;2;PPD/PSD;;Partido Social Democrata;22;Dina Maria Frangalho Ventura dos Santos Mora;PPD/PSD;N
150300;AM;2;PPD/PSD;;Partido Social Democrata;23;Francisco Miguel Pereira Cardina;PPD/PSD;N
150300;AM;2;PPD/PSD;;Partido Social Democrata;24;António Manuel de Oliveira Brito;PPD/PSD;N
150300;AM;2;PPD/PSD;;Partido Social Democrata;25;Helena Maria Quintela e Costa;PPD/PSD;N
150300;AM;2;PPD/PSD;;Partido Social Democrata;26;Hugo Miguel Barreto Gonçalves;PPD/PSD;N
150300;AM;2;PPD/PSD;;Partido Social Democrata;27;David António Rodrigues Pulquério;PPD/PSD;N
150300;AM;2;PPD/PSD;;Partido Social Democrata;28;Célia da Conceição Fragoso Pinheiro;PPD/PSD;N
150300;AM;2;PPD/PSD;;Partido Social Democrata;29;Artur Agostinho Marreiros Graça Fernandes;PPD/PSD;N
150300;AM;2;PPD/PSD;;Partido Social Democrata;30;Duarte Vicente de Sousa;PPD/PSD;N
150300;AM;2;PPD/PSD;;Partido Social Democrata;31;Rosa Maria dos Santos Rolo Martinho;PPD/PSD;N
150300;AM;2;PPD/PSD;;Partido Social Democrata;32;Carlos Manuel Costa Botelho de Moura;PPD/PSD;N
150300;AM;2;PPD/PSD;;Partido Social Democrata;33;Sofia do Carmo Rocha;PPD/PSD;N
150300;AM;3;PPD/PSD;;Partido Social Democrata;1;Sofia Amado Pinto Durão Carvalho;PPD/PSD;N
150300;AM;3;PPD/PSD;;Partido Social Democrata;2;Carlos Manuel Coimbra da Silva;PPD/PSD;N
150300;AM;3;PPD/PSD;;Partido Social Democrata;3;Bernardo Nuno Verdelho Lopes Aires de Campos;PPD/PSD;N
150300;AM;3;PPD/PSD;;Partido Social Democrata;4;Ana Catarina da Fonseca Santos;PPD/PSD;N
150300;AM;3;PPD/PSD;;Partido Social Democrata;5;José Carlos de Araújo Guerreiro Ferreira;PPD/PSD;N
150300;AM;3;PPD/PSD;;Partido Social Democrata;6;Tiago Silva de Oliveira;PPD/PSD;N
150300;AM;3;PPD/PSD;;Partido Social Democrata;7;Cristina Maria Fernandes Vinagre Geraldes;PPD/PSD;N
150300;AM;3;PPD/PSD;;Partido Social Democrata;8;Leonardo Delgado Grilo;PPD/PSD;N
150300;AM;3;PPD/PSD;;Partido Social Democrata;9;Sandra Fortes de Jesus;PPD/PSD;N
150300;AM;3;PPD/PSD;;Partido Social Democrata;10;Paulo César Fernandes Colaço;PPD/PSD;N
150300;AM;3;PPD/PSD;;Partido Social Democrata;11;Hélia Rute Gonçalves Santos;PPD/PSD;N
150300;AM;3;PPD/PSD;;Partido Social Democrata;12;Catarina do Carmo Rocha;PPD/PSD;N
150300;AM;2;CDS-PP;;CDS – Partido Popular;1;José Daniel Pimenta Coutinho;CDS-PP;N
150300;AM;2;CDS-PP;;CDS – Partido Popular;2;Sílvia Faustina Parreira Lopes;CDS-PP;N
150300;AM;2;CDS-PP;;CDS – Partido Popular;3;Maria Luis Mendes Alves Pereira de Abreu;CDS-PP;N
150300;AM;2;CDS-PP;;CDS – Partido Popular;4;Fábio André Lourenço Lopes;CDS-PP;N
150300;AM;2;CDS-PP;;CDS – Partido Popular;5;Irina Cristiana Ludovico da Costa Tricamegy;CDS-PP;N
150300;AM;2;CDS-PP;;CDS – Partido Popular;6;Raquel Alexandra Valadares Barrulas;CDS-PP;N
150300;AM;2;CDS-PP;;CDS – Partido Popular;7;Ricardo Maria Coelho Ribeiro;CDS-PP;N
150300;AM;2;CDS-PP;;CDS – Partido Popular;8;Maria Ana de Magalhães e Esteves Silva;CDS-PP;N
150300;AM;2;CDS-PP;;CDS – Partido Popular;9;Henrique Pimenta Coutinho;CDS-PP;N
150300;AM;2;CDS-PP;;CDS – Partido Popular;10;Mariana da Cruz França;CDS-PP;N
150300;AM;2;CDS-PP;;CDS – Partido Popular;11;Jorge Manuel Vieira Braga;CDS-PP;N
150300;AM;2;CDS-PP;;CDS – Partido Popular;12;Paula Alexandra Monteiro dos Santos Pires;CDS-PP;N
150300;AM;2;CDS-PP;;CDS – Partido Popular;13;Gustavo Manuel Marques Pinto;CDS-PP;N
150300;AM;2;CDS-PP;;CDS – Partido Popular;14;João Maria Castro de Oliveira Rocha Pinto;CDS-PP;N
150300;AM;2;CDS-PP;;CDS – Partido Popular;15;ngela Maria Paradela Gonçalves Lopes Seguin;CDS-PP;N
150300;AM;2;CDS-PP;;CDS – Partido Popular;16;Manuel Castro de Oliveira Rocha Pinto;CDS-PP;N
150300;AM;2;CDS-PP;;CDS – Partido Popular;17;Edgar Pires de Matos Morgadinho Faustino;CDS-PP;N
150300;AM;2;CDS-PP;;CDS – Partido Popular;18;Ana Mafalda Boieiro Marques;CDS-PP;N
150300;AM;2;CDS-PP;;CDS – Partido Popular;19;Maria Quitéria Chefe Marques;CDS-PP;N
150300;AM;2;CDS-PP;;CDS – Partido Popular;20;Henrique Marques Elvas Martins;CDS-PP;N
150300;AM;2;CDS-PP;;CDS – Partido Popular;21;Daniel José Félix da Costa;CDS-PP;N
150300;AM;2;CDS-PP;;CDS – Partido Popular;22;Daniela de Jesus Pires da Silva;CDS-PP;N
150300;AM;2;CDS-PP;;CDS – Partido Popular;23;Emanuel Melo de Sousa;CDS-PP;N
150300;AM;2;CDS-PP;;CDS – Partido Popular;24;Silvestre Tomé Lopes;CDS-PP;N
150300;AM;2;CDS-PP;;CDS – Partido Popular;25;Ana Paula Barrosa Ludovico Costa;CDS-PP;N
150300;AM;2;CDS-PP;;CDS – Partido Popular;26;Luzia Maria dos Santos Oliveira;CDS-PP;N
150300;AM;2;CDS-PP;;CDS – Partido Popular;27;Rui Filipe Soares Waddington Rebelo;CDS-PP;N
150300;AM;2;CDS-PP;;CDS – Partido Popular;28;Maria Teresa Seixas Dantas;CDS-PP;N
150300;AM;2;CDS-PP;;CDS – Partido Popular;29;Célia Sofia Goes Custódio Fonseca;CDS-PP;N
150300;AM;2;CDS-PP;;CDS – Partido Popular;30;José António Borges Telhado;CDS-PP;N
150300;AM;2;CDS-PP;;CDS – Partido Popular;31;Mariana Rita Potra Colaço;CDS-PP;N
150300;AM;2;CDS-PP;;CDS – Partido Popular;32;Pedro Manuel Monteiro da Rosa;CDS-PP;N
150300;AM;2;CDS-PP;;CDS – Partido Popular;33;Tânia Patrícia da Gama Maia;CDS-PP;N
150300;AM;3;CDS-PP;;CDS – Partido Popular;1;Teresa Maria Ferreira de Almeida Monteiro;CDS-PP;N
150300;AM;3;CDS-PP;;CDS – Partido Popular;2;Tiago Fernandes de Moura;CDS-PP;N
150300;AM;3;CDS-PP;;CDS – Partido Popular;3;José Manuel Santos de Moura;CDS-PP;N
150300;AM;3;CDS-PP;;CDS – Partido Popular;4;Beatriz Rita de Cássia Jorge Borges;CDS-PP;N
150300;AM;3;CDS-PP;;CDS – Partido Popular;5;José Santos Monteiro de Moura;CDS-PP;N
150300;AM;3;CDS-PP;;CDS – Partido Popular;6;Isabel Maria de Mata Mouzinho;CDS-PP;N
150300;AM;3;CDS-PP;;CDS – Partido Popular;7;Paulo Jorge Neto Dias;CDS-PP;N
150300;AM;3;CDS-PP;;CDS – Partido Popular;8;Ana Francisca Moura Neto Roldão Dias;CDS-PP;N
150300;AM;3;CDS-PP;;CDS – Partido Popular;9;Ana Paula Roldão Moura Josefa;CDS-PP;N
